City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
489,Nishihara,JP,83.86,broken clouds,26.1842,127.7558,Minshuku Agaihama
493,Vila Franca Do Campo,PT,71.2,clear sky,37.7167,-25.4333,Pestana Bahia Praia
494,Vezirkopru,TR,63.09,scattered clouds,41.1436,35.4547,Vezirkopru Ogretmenevi
496,San Cristobal,VE,65.34,overcast clouds,7.7669,-72.225,Pirineos
497,Yulara,AU,78.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
498,Marsh Harbour,BS,82.76,clear sky,26.5412,-77.0636,Abaco Beach Resort
504,Turayf,SA,77.25,clear sky,31.6725,38.6637,Al Mudawah Hotel
505,Benghazi,LY,80.64,clear sky,32.1167,20.0667,Tibesti Hotel
506,Kambove,CD,78.22,few clouds,-10.8764,26.5969,Pat. Mukendi
507,Andros Town,BS,83.03,clear sky,24.7,-77.7667,Hanks place
508,Canutama,BR,75.16,clear sky,-6.5339,-64.3831,Pousada Deus é Fiél
510,Kousseri,CM,80.56,few clouds,12.0769,15.0306,Le Pilotis
511,Pinto,ES,69.89,clear sky,40.2415,-3.7,Posadas De España Pinto
513,Sakaiminato,JP,67.98,broken clouds,35.55,133.2333,Italian pasley
514,Mabaruma,GY,74.7,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
515,Miles City,US,61.77,clear sky,46.4083,-105.8406,FairBridge Inn & Suites Miles City
516,Neiafu,TO,76.96,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
518,Puerto Maldonado,PE,77.52,scattered clouds,-12.6,-69.1833,Wasai Hotel
519,Mahibadhoo,MV,82.45,overcast clouds,3.7833,72.9667,Omadhoo Inn
520,Gijon,ES,60.26,clear sky,43.5357,-5.6615,Hotel Norte
521,Komsomolets,KZ,77.63,overcast clouds,53.7453,62.0708,Avtostoyanka
522,Linfen,CN,70.99,overcast clouds,36.0889,111.5189,Suoxing Hotel
523,Vilhena,BR,70.59,clear sky,-12.7406,-60.1458,Hotel Mirage
524,Chany,RU,71.35,broken clouds,55.3121,76.7647,Sakura
526,San Patricio,US,84.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
530,Kaduqli,SD,74.71,overcast clouds,11.0167,29.7167,Nussyba
533,Grand Gaube,MU,75.6,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
534,Waingapu,ID,86.56,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
536,Datong,CN,65.41,clear sky,40.0936,113.2914,Holiday Inn Datong City Centre
537,Bakchar,RU,61.3,overcast clouds,57.0186,82.0711,Gostinitsa Gostevoy Dom
538,Sola,VU,80.62,few clouds,-13.8833,167.55,Leumerus Bungalows
539,Maceio,BR,67.44,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
540,Tonj,SS,80.76,few clouds,7.2737,28.6822,Lakan Hotel
542,Platteville,US,68.23,scattered clouds,42.7342,-90.4785,"Country Inn & Suites by Radisson, Platteville, WI"
543,Kailua,US,80.58,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
544,Kudahuvadhoo,MV,82.58,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
549,Cockburn Town,TC,77.72,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
550,Benjamin Aceval,PY,66.6,scattered clouds,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
551,Lompoc,US,67.01,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
