City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,Alofi,-19.0595,-169.9187,80.49,78,8,16.11,NU,2022-09-19 02:36:57
135,Ayagoz,47.9714,80.4392,59.81,26,0,14.72,KZ,2022-09-19 02:36:58
136,Iqaluit,63.7506,-68.5145,42.53,75,75,5.75,CA,2022-09-19 02:37:58
137,Darhan,49.4867,105.9228,52.63,44,0,13.44,MN,2022-09-19 02:37:59
138,Miraflores,19.2167,-98.8083,60.03,91,97,3.62,MX,2022-09-19 02:37:59
139,Auki,-8.7676,160.7034,76.75,89,100,7.34,SB,2022-09-19 02:38:00
140,Vysokogornyy,50.1167,139.15,52.99,74,30,17.09,RU,2022-09-19 02:38:00
141,Excelsior Springs,39.3392,-94.2261,89.49,65,40,3.44,US,2022-09-19 02:35:00
142,Qaanaaq,77.484,-69.3632,22.71,51,34,8.61,GL,2022-09-19 02:38:01
143,Kijang,35.2442,129.2139,82.13,89,100,34.69,KR,2022-09-19 02:38:01
144,Beringovskiy,63.05,179.3167,40.59,75,100,16.26,RU,2022-09-19 02:38:01
145,Bluff,-46.6,168.3333,55.0,70,100,6.22,NZ,2022-09-19 02:38:02
146,Victoria,22.2855,114.1577,91.26,78,88,5.01,HK,2022-09-19 02:37:02
147,Abja-Paluoja,58.1253,25.3497,43.65,98,100,4.72,EE,2022-09-19 02:38:02
148,Oxbow,49.2333,-102.1676,61.18,38,65,5.28,CA,2022-09-19 02:38:03
149,Halifax,44.6453,-63.5724,55.4,91,97,8.05,CA,2022-09-19 02:33:11
150,Clyde River,70.4692,-68.5914,35.83,100,100,12.66,CA,2022-09-19 02:38:04
151,Broome,42.2506,-75.833,70.63,82,100,6.91,US,2022-09-19 02:38:04
152,Tiznit,29.5833,-9.5,63.77,80,0,1.63,MA,2022-09-19 02:38:05
153,Havelock,34.8791,-76.9013,76.95,92,100,3.69,US,2022-09-19 02:38:05
154,Khatanga,71.9667,102.5,33.49,57,15,13.96,RU,2022-09-19 02:38:06
155,Cozumel,20.5083,-86.9458,82.0,83,0,5.01,MX,2022-09-19 02:38:06
156,Vardo,70.3705,31.1107,46.38,93,75,14.97,NO,2022-09-19 02:38:07
157,Thompson,55.7435,-97.8558,53.76,100,100,3.44,CA,2022-09-19 02:38:07
158,Baoshan,46.5586,131.4244,54.36,48,51,14.58,CN,2022-09-19 02:38:08
159,Ust-Nera,64.5667,143.2,40.69,72,100,3.56,RU,2022-09-19 02:38:08
160,Chunskiy,56.0815,99.6342,51.53,57,78,3.44,RU,2022-09-19 02:33:14
161,Pudozh,61.8099,36.5345,44.53,97,100,4.5,RU,2022-09-19 02:33:09
162,Longyearbyen,78.2186,15.6401,26.44,86,75,11.5,SJ,2022-09-19 02:38:10
163,Arani,12.6667,79.2833,85.44,58,100,8.5,IN,2022-09-19 02:38:10
164,Faya,18.3851,42.4509,66.72,67,57,2.89,SA,2022-09-19 02:38:11
165,Georgetown,5.4112,100.3354,85.95,82,20,5.01,MY,2022-09-19 02:38:12
166,Kamaishi,39.2667,141.8833,77.2,93,100,16.8,JP,2022-09-19 02:38:12
167,Mzimba,-11.9,33.6,62.19,50,33,9.01,MW,2022-09-19 02:38:13
168,Quatre Cocos,-20.2078,57.7625,71.1,77,24,15.05,MU,2022-09-19 02:38:13
169,Xining,36.6167,101.7667,55.27,88,100,3.13,CN,2022-09-19 02:38:14
170,Nabire,-3.3667,135.4833,85.5,64,43,5.03,ID,2022-09-19 02:38:14
171,Sao Joao Da Barra,-21.6403,-41.0511,63.88,79,0,6.29,BR,2022-09-19 02:38:15
172,Birao,10.2849,22.7882,69.96,95,25,0.4,CF,2022-09-19 02:38:15
173,Powell River,49.8496,-124.5361,65.34,55,20,6.91,CA,2022-09-19 02:34:37
174,Dunedin,-45.8742,170.5036,59.81,64,100,1.99,NZ,2022-09-19 02:38:16
175,Trairi,-3.2778,-39.2689,77.77,84,42,12.71,BR,2022-09-19 02:38:16
176,Bambous Virieux,-20.3428,57.7575,71.22,94,75,9.22,MU,2022-09-19 02:38:17
177,Sorrento,40.626,14.3744,69.37,79,0,4.0,IT,2022-09-19 02:38:17
178,Byron Bay,-28.65,153.6167,79.72,37,3,5.64,AU,2022-09-19 02:38:18
179,Lagoa,39.05,-27.9833,72.79,87,5,7.61,PT,2022-09-19 02:38:19
180,Pangnirtung,66.1451,-65.7125,43.07,65,92,0.49,CA,2022-09-19 02:38:19
181,Kodiak,57.79,-152.4072,60.31,72,75,6.91,US,2022-09-19 02:39:20
182,Jumla,29.2747,82.1838,68.52,75,36,1.52,NP,2022-09-19 02:39:20
183,Axim,4.8699,-2.2405,74.28,93,99,8.25,GH,2022-09-19 02:39:21
184,Ust-Kuyga,70.0167,135.6,35.02,99,100,4.83,RU,2022-09-19 02:39:21
185,Lavrentiya,65.5833,-171.0,39.24,80,100,12.19,RU,2022-09-19 02:39:22
186,Soto La Marina,23.7667,-98.2167,79.77,90,21,5.3,MX,2022-09-19 02:37:26
187,Port Elizabeth,-33.918,25.5701,55.31,90,0,8.05,ZA,2022-09-19 02:39:23
188,Itarema,-2.9248,-39.9167,77.81,83,23,14.94,BR,2022-09-19 02:39:23
189,Arraial Do Cabo,-22.9661,-42.0278,65.88,74,1,2.44,BR,2022-09-19 02:39:23
190,Santa Fe,-31.6333,-60.7,61.02,94,11,4.0,AR,2022-09-19 02:35:29
191,Leningradskiy,69.3833,178.4167,33.4,98,100,21.23,RU,2022-09-19 02:39:24
192,Ilo,-17.6394,-71.3375,59.25,81,50,6.82,PE,2022-09-19 02:39:25
193,Ostrovnoy,68.0531,39.5131,47.71,96,100,6.42,RU,2022-09-19 02:39:26
194,Anadyr,64.75,177.4833,43.3,81,75,8.95,RU,2022-09-19 02:39:26
195,Ouesso,1.6136,16.0517,69.57,98,99,1.41,CG,2022-09-19 02:39:27
196,Talnakh,69.4865,88.3972,36.21,100,100,1.54,RU,2022-09-19 02:39:27
197,Heidenreichstein,48.8667,15.1167,43.74,92,100,11.01,AT,2022-09-19 02:39:28
198,Bafia,4.75,11.2333,68.18,99,100,2.62,CM,2022-09-19 02:39:28
199,Berlevag,70.8578,29.0864,44.6,93,75,20.71,NO,2022-09-19 02:39:29
200,Coos Bay,43.3665,-124.2179,64.38,84,0,9.22,US,2022-09-19 02:39:29
201,Launceston,-41.45,147.1667,61.61,51,75,8.05,AU,2022-09-19 02:39:30
202,Namibe,-15.1961,12.1522,61.3,81,97,4.52,AO,2022-09-19 02:39:30
203,Geraldton,-28.7667,114.6,55.81,62,75,33.38,AU,2022-09-19 02:39:31
204,Kruisfontein,-34.0033,24.7314,54.0,83,100,12.46,ZA,2022-09-19 02:39:31
205,Sitka,57.0531,-135.33,57.09,67,75,9.22,US,2022-09-19 02:39:32
206,Mabaruma,8.2,-59.7833,74.95,90,13,2.82,GY,2022-09-19 02:39:32
207,Necochea,-38.5473,-58.7368,51.33,95,100,11.63,AR,2022-09-19 02:39:33
208,Colares,38.7992,-9.4469,72.79,87,77,13.0,PT,2022-09-19 02:39:33
209,Acopiara,-6.0953,-39.4525,75.25,76,95,7.67,BR,2022-09-19 02:39:34
210,East London,-33.0153,27.9116,58.19,90,100,8.86,ZA,2022-09-19 02:38:25
211,Mahebourg,-20.4081,57.7,71.26,94,75,9.22,MU,2022-09-19 02:39:35
212,Gizo,-8.103,156.8419,84.04,73,96,11.34,SB,2022-09-19 02:39:35
213,Sao Felix Do Xingu,-6.6447,-51.995,78.66,57,56,0.92,BR,2022-09-19 02:39:36
214,Belle Glade,26.6845,-80.6676,80.02,79,100,3.49,US,2022-09-19 02:39:36
215,Dingle,10.9995,122.6711,86.85,68,100,14.29,PH,2022-09-19 02:39:36
216,Minab,27.1467,57.0801,84.52,79,9,0.0,IR,2022-09-19 02:39:37
217,Shorapur,16.5167,76.75,75.81,72,96,12.62,IN,2022-09-19 02:39:38
218,Madimba,-10.4,40.3333,75.33,75,90,7.54,TZ,2022-09-19 02:39:38
219,Saldanha,-33.0117,17.9442,53.65,66,6,21.56,ZA,2022-09-19 02:39:39
220,Tianpeng,30.9866,103.9393,72.07,84,100,2.24,CN,2022-09-19 02:39:39
221,Opunake,-39.4556,173.8583,59.85,95,100,19.28,NZ,2022-09-19 02:39:40
222,Mogadishu,2.0371,45.3438,76.75,89,80,14.56,SO,2022-09-19 02:39:40
223,Liepaja,56.5419,21.0367,40.98,93,75,0.0,LV,2022-09-19 02:39:41
224,Omboue,-1.5746,9.2618,75.54,86,100,8.37,GA,2022-09-19 02:39:41
225,Nanortalik,60.1432,-45.2371,45.05,80,98,11.21,GL,2022-09-19 02:39:42
226,Katobu,-4.9408,122.5276,86.58,59,93,5.79,ID,2022-09-19 02:39:43
227,Kuching,1.55,110.3333,75.42,100,40,2.3,MY,2022-09-19 02:39:44
228,Muros,42.7762,-9.0603,68.16,79,50,7.58,ES,2022-09-19 02:40:44
