City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
211,Emerald,AU,-23.5333,148.1667,87.35,36,0,3.98,clear sky
212,Severo-Kurilsk,RU,50.6789,156.125,58.28,97,100,14.61,light rain
213,Lavrentiya,RU,65.5833,-171.0,39.43,76,97,5.5,overcast clouds
214,Mehriz,IR,31.5917,54.4318,86.5,15,0,3.22,clear sky
215,Georgetown,MY,5.4112,100.3354,88.9,68,20,5.75,few clouds
216,Atuona,PF,-9.8,-139.0333,77.14,75,23,22.01,light rain
217,Plettenberg Bay,ZA,-34.0527,23.3716,59.4,57,23,6.15,few clouds
218,Pevek,RU,69.7008,170.3133,33.13,77,12,4.03,few clouds
219,Bairiki,KI,1.3292,172.9752,82.4,74,75,6.91,broken clouds
220,Barra Patuca,HN,15.8,-84.2833,78.53,85,92,3.36,overcast clouds
221,Zhatay,RU,62.1594,129.8294,44.06,39,0,13.42,clear sky
222,Nadym,RU,65.5333,72.5167,44.47,81,100,15.88,overcast clouds
223,Molteno,ZA,-31.3968,26.3625,37.2,96,100,10.2,light rain
224,Cayenne,GF,4.9333,-52.3333,78.84,89,0,2.3,clear sky
225,Aras,ES,42.5617,-2.356,50.41,62,0,6.91,clear sky
226,Sinnamary,GF,5.3833,-52.95,76.96,88,100,9.26,overcast clouds
227,Usevya,TZ,-7.1,31.2333,82.45,35,74,9.53,broken clouds
228,Garut,ID,-7.2024,107.8878,77.65,69,97,5.1,overcast clouds
229,Roma,US,43.2128,-75.4557,63.52,96,100,4.61,overcast clouds
230,Shache,CN,38.4167,77.2406,82.58,19,6,7.61,clear sky
231,Camacha,PT,33.0833,-16.3333,69.22,83,40,6.91,scattered clouds
232,Kathu,TH,7.9178,98.3332,85.69,99,100,12.17,overcast clouds
233,Bereda,ES,43.2686,-7.5406,58.14,100,16,3.04,few clouds
234,Baculin,PH,7.4525,126.5842,84.38,78,98,8.57,overcast clouds
235,Buta,CD,2.7858,24.73,80.17,74,10,1.41,clear sky
236,Le Vauclin,MQ,14.5452,-60.8388,77.05,94,75,2.3,broken clouds
237,Breves,BR,-1.6822,-50.4803,72.46,97,84,3.06,broken clouds
238,Metlaltoyuca,MX,20.7333,-97.85,69.31,93,92,2.55,overcast clouds
239,Nanortalik,GL,60.1432,-45.2371,41.11,96,100,6.22,overcast clouds
240,Carnarvon,AU,-24.8667,113.6333,70.02,47,0,18.39,clear sky
241,Krasnyy Yar,RU,46.5331,48.3456,78.73,43,0,16.33,light rain
242,Kuntaur,GM,13.6667,-14.8833,74.1,95,100,4.09,overcast clouds
243,Bagotville,AU,-28.9833,153.4167,69.69,78,7,10.71,clear sky
244,Turka,UA,49.1541,23.0297,46.8,96,100,4.74,overcast clouds
245,Havelock,US,34.8791,-76.9013,74.93,96,0,1.07,clear sky
246,Camargo,MX,27.6667,-105.1667,73.63,64,20,8.79,few clouds
247,Sainte-Maxime,FR,43.3,6.6333,71.01,72,0,4.56,clear sky
248,Emirdag,TR,39.0197,31.15,66.42,45,100,3.06,overcast clouds
249,Omboue,GA,-1.5746,9.2618,76.87,79,100,5.93,overcast clouds
250,Ahuimanu,US,21.4447,-157.8378,80.31,68,20,16.11,few clouds
251,Kiruna,SE,67.8557,20.2251,34.72,80,28,6.91,scattered clouds
252,Ahipara,NZ,-35.1667,173.1667,58.96,91,100,12.48,overcast clouds
253,Mount Isa,AU,-20.7333,139.5,85.77,48,40,16.11,scattered clouds
254,Santa Maria,BR,-29.6842,-53.8069,58.1,97,94,1.86,overcast clouds
255,Ornskoldsvik,SE,63.2909,18.7153,45.55,65,0,9.22,clear sky
256,Inhambane,MZ,-23.865,35.3833,80.58,83,20,11.5,few clouds
257,Carauari,BR,-4.8828,-66.8958,72.28,95,18,1.43,few clouds
258,Toumodi,CI,6.5613,-5.0158,72.16,96,90,5.55,light rain
259,Tiksi,RU,71.6872,128.8694,34.95,95,100,13.4,light snow
260,Ionia,US,42.9873,-85.0711,59.2,97,0,4.61,clear sky
261,Micheweni,TZ,-4.9667,39.8333,80.51,64,59,6.85,broken clouds
262,Baijiantan,CN,45.6333,85.1833,80.42,12,19,3.85,few clouds
263,Adrar,MR,20.5022,-10.0711,86.2,29,100,11.97,overcast clouds
264,Naze,JP,28.3667,129.4833,77.83,69,100,14.58,overcast clouds
265,Santiago Del Estero,AR,-27.7951,-64.2615,55.35,68,0,8.43,clear sky
266,Placido De Castro,BR,-10.3353,-67.1856,78.64,62,96,2.75,overcast clouds
267,Maarianhamina,AX,60.0973,19.9348,49.86,93,75,9.22,broken clouds
268,Yamada,JP,39.4667,141.95,64.15,86,100,10.36,light rain
269,Kysyl-Syr,RU,63.8986,122.7617,41.68,44,66,5.12,broken clouds
270,Barrow,US,71.2906,-156.7887,37.42,93,40,6.91,scattered clouds
271,Gaziantep,TR,37.0594,37.3825,76.93,44,40,0.0,scattered clouds
272,Natal,BR,-5.795,-35.2094,72.25,94,40,4.61,scattered clouds
273,Trairi,BR,-3.2778,-39.2689,76.91,80,9,13.87,clear sky
274,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.17,79,60,7.56,broken clouds
275,Hovd,MN,48.0056,91.6419,64.58,15,0,8.05,clear sky
276,Alenquer,BR,-1.9417,-54.7383,74.73,69,17,3.4,few clouds
277,Karratha,AU,-20.7377,116.8463,83.8,20,0,10.74,clear sky
278,Pauini,BR,-7.7136,-66.9764,76.23,73,54,1.63,broken clouds
279,Ostrovnoy,RU,68.0531,39.5131,47.28,98,99,22.21,light rain
280,Teya,RU,60.3778,92.6267,48.7,83,79,11.9,light rain
281,Tabou,CI,4.423,-7.3528,75.0,90,100,7.61,light rain
282,Pringsewu,ID,-5.3582,104.9744,89.98,48,78,1.9,broken clouds
283,Houma,US,29.5958,-90.7195,75.0,94,0,0.0,mist
284,Codrington,AU,-38.2667,141.9667,59.52,75,100,12.66,overcast clouds
285,Novosheshminsk,RU,55.0651,51.2338,65.07,45,100,9.98,overcast clouds
286,Fonte Boa,BR,-2.4959,-66.2662,74.19,91,0,0.6,clear sky
287,Half Moon Bay,US,37.4636,-122.4286,62.82,82,0,3.44,clear sky
288,Brinkovskaya,RU,46.0347,38.5869,70.48,31,25,10.56,scattered clouds
